"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"APOLSINHOT",21,1355.04,1122.6,28455.75,23574.6,-4881.15,-17.15,-1.81,""
"ARMANFIN",11,1588.3,1489.2,17471.3,16381.2,-1090.1,-6.24,-1.99,""
"BANKBEES",894,547.58,578.75,489538,517402.5,27864.5,5.69,-0.44,""
"CDSL",26,1253.92,1312.8,32602,34132.8,1530.8,4.7,-0.82,""
"GRAVITA",44,1749.92,1568,76996.5,68992,-8004.5,-10.4,-1.15,""
"HDFCBANK",300,765.6,784.85,229680,235455,5775,2.51,0.06,""
"HDFCSML250",3411,157.85,165.13,538440.99,563258.43,24817.44,4.61,-0.94,""
"HERITGFOOD",680,334.81,355.25,227672.1,241570,13897.9,6.1,-1.72,""
"ICICIBANK",4,1082.46,1324.5,4329.85,5298,968.15,22.36,-1.73,""
"IRCTC",13,908.37,542.75,11808.75,7055.75,-4753,-40.25,-1.56,""
"IRFC",103,163.86,103.92,16877.6,10703.76,-6173.84,-36.58,-1.09,""
"JIOFIN",736,262.53,245.73,193219.7,180857.28,-12362.42,-6.4,-1.18,""
"KPITTECH",28,1128.5,709.6,31598,19868.8,-11729.2,-37.12,-3.28,""
"MIDSMALL",354,51.36,49.06,18182.15,17367.24,-814.91,-4.48,-1.09,""
"MONIFTY500",4301,21.35,23.06,91845.45,99181.06,7335.61,7.99,-0.9,""
"NIFTYBEES",1543,257.8,271.09,397789.67,418291.87,20502.2,5.15,-0.98,""
"NSDL",33,913,888.7,30129,29327.1,-801.9,-2.66,-1.26,""
"NUVAMA",140,1250.16,1346,175022.7,188440,13417.3,7.67,-2.23,""
"PFC",192,403.59,469.35,77488.4,90115.2,12626.8,16.3,-0.1,""
"PREMIERENE",16,1068,1011.35,17088,16181.6,-906.4,-5.3,1.04,""
"PRICOLLTD",59,437.54,594.65,25814.8,35084.35,9269.55,35.91,-3.96,""
"PVRINOX",11,1254.82,1004.15,13803,11045.65,-2757.35,-19.98,-0.08,""
"RECLTD",1150,330.1,374,379618.5,430100,50481.5,13.3,-0.65,""
"RELIANCE",180,1460.32,1327.8,262857,239004,-23853,-9.07,-1.16,""
"SBIN",35,808.47,1098,28296.5,38430,10133.5,35.81,0.36,""
"SHAKTIPUMP",21,919.2,545.25,19303.2,11450.25,-7852.95,-40.68,-1.75,""
"SMALLCAP",500,41.23,43.34,20615,21670,1055,5.12,-1.16,""
"VBL",55,452.85,490.85,24906.75,26996.75,2090,8.39,1.22,""
"WAAREEENER",94,2689.28,3305.7,252791.95,310735.8,57943.85,22.92,-3.14,""
"WAAREERTL",79,991.82,1028.15,78353.6,81223.85,2870.25,3.66,-3.56,""
"YATHARTH",583,600.93,718.3,350343.05,418768.9,68425.85,19.53,-5.07,""
